PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
5201,5216,5315,5212,5222,5226,5206,5,5,4,5,5,5,5216,5315,,,,,2,2,NA,NA,NA,NA
5334,5252,,,,,,5,NA,NA,NA,NA,NA,5252,,,,,,4,NA,NA,NA,NA,NA
5223,5217,5212,5225,5206,5216,5201,5,5,5,5,4,4,5217,,,,,,2,NA,NA,NA,NA,NA
5129,5130,5131,5123,5122,5121,5365,5,5,5,2,4,1,5130,5131,5367,5123,5090,5105,3,2,2,3,2,1
5332,5327,5290,5319,5313,5282,5310,5,5,4,5,3,5,5290,5310,5327,5313,,,4,3,3,2,NA,NA
5195,5198,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5307,5283,5313,5338,5018,,,5,4,5,3,NA,NA,5283,,,,,,3,NA,NA,NA,NA,NA
5367,5346,5130,5365,,,,5,3,3,NA,NA,NA,5346,5365,,,,,2,3,NA,NA,NA,NA
5379,5200,5222,,,,,5,5,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5199,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5093,5085,5104,5382,5087,5210,,NA,NA,NA,NA,NA,NA,5108,5210,5085,5087,,,NA,NA,NA,NA,NA,NA
5224,5220,5199,5218,,,,2,2,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
5216,5209,5207,5215,5206,5212,5201,4,4,4,5,3,5,5201,5206,,,,,3,1,NA,NA,NA,NA
